,Category,Text
1163,OutOfOffice,I will be out of the office until Monday January 4th. I will be checking messages periodically. Thank you.
1164,ReferredSomeone,"Iam in Operations and so i would not plan anything of these maintenance activities. But i would provide you with some maintenance personnels' numbers so that you could directly contact them.
regards"
1165,OutOfOffice,"Thank you for your email. I currently work Mondays and Tuesdays and will reply to your email then. For anything urgent, please call me on 0410 707 509.
Thanks
Sarah."
1166,Deactivated,"Thank you Rachel, but I use Argus Metals currently."
1167,AgreedToMeet,THANKS!
1168,Unsubscribed,Please take me off your email list.
1169,ConnectLater,"Thanks for your mail.
Branch will be closed on 30 Nov '20 on account of Gurunanak Jayanthi and normal business will resume on 01 Dec '20. Kindly expect delay in response."
1170,ReferredSomeone,"Sara Sherman is no longer with DBV Technologies. Please direct your email to Anne Pollak, who can be reached at anne.pollak@dbv-technologies.com"
1171,AgreedToMeet,"Yes, I am interested."
1172,Unsubscribed,"your mails are not relevant for me.
Kindly don't send any further mail in future."
1173,OutOfOffice,"I am currently out of the office and will be back on 04th of January 2021.
Your E-mails will not be answered or forwarded."
1174,SeekingMoreInfo,hi - I am waiting to rent my property. Do you provide the service?
1175,AgreedToMeet,I am interested. Can you please call me sometime next week?
1176,OutOfOffice,I am currently out of the office on annual leave until Monday 2nd of November and will have limited access to email. I will respond as soon as possible. For urgent assistance please contact the office on +65 6597 8380.
1177,OutOfOffice,"Happy holidays! I will return to the office on January 2nd.
Best,"
1178,OutOfOffice,"I will be out of the office starting Monday September 14th, returning on Tuesday September 22nd.
I will have limited access to emails during that time."
1179,Deactivated,"we are not interested
Regards,"
1180,ReferredSomeone,Jignesh Gandhi is no longer associated with Geometry Encompass. Kindly redirect all your communication to Mr. Himanshu Mistry on Himanshu.mistry@encompass.in<mailto:Himanshu.mistry@encompass.in> for further actions.
1181,AgreedToMeet,let's set up a call to explore it further.
1182,ReferredSomeone,"I wanted to inform you that I have changed my primary email address to hitesh_panchal@shinryosuvidha.co.in . Please update my contact information in your address book and direct your messages to my new email address.
Your messages are important to me, thanks for keeping my information up to date."
1183,ConnectLater,"Thank you for all your emails. However at the moment we are just adjusting ourselves to similar barcoding system that we have recently implemented.
If in the future we would need your services, we will be in touch."
1184,OutOfOffice,"Long Robert, PUR, BPRI is currently Out of the Office...... Please E-mail Scott Miles at .... scott.miles@buhlergroup.com"
1185,ConnectLater,"I appreciate your reach out and the information, but there is no such position available at IHS.
In saying that, Q1 2021 we might be considering a junior data handler/ Salesforce superuser.
You may reach out to me then, subject to candidates in your data bank."
1186,Unsubscribed,Please take me off your mailing list; thanks!
1187,OutOfOffice,"I am on leave from 12th to 19th Feb 2020.
During my absence kindly contact my colleagues Priyanka/Savitha for any support."
1188,OutOfOffice,"Thank you for your message. I'm out of the office participating in the Deloitte US collective disconnect from December 25 - January 1. I will be back in the office on Thursday, January 2 and will respond to your message at that time.
Have a wonderful holiday!
Kind regards,"
1189,OutOfOffice,I'm on leave today with no access to emails. I'll resume work on Monday and revert to your mail.
1190,ConnectLater,"Appreciate your interest.
Unfortunately we are not adding vendors. Will connect with you if required in future."
1191,OutOfOffice,"Thanks for your mail. I will be back to office on 8th June.
Mail will not be read and replied.
Thank you for understanding."
1192,ReferredSomeone,"Please send mails to appropriate person, I am working in Operation department."
1193,Unsubscribed,We don‚Äôt have any project for lube oil flushing and I can‚Äôt help you. Please stop sending emails to me.
1194,Deactivated,Thank you for the approach; but we are not looking to recruit such people at this time.
1195,Deactivated,"I already had a call with Vijay Roy. Not interested
Thanks"
1196,Deactivated,"Many thanks for your email. We are not looking for any additional support in this area at the moment, but many thanks for making contact.
With kind regards,"
1197,Deactivated,"Thank you for your email.
We are now CLOSED due to CORONA-VIRUS.
Back in September ....
Please note that although active in other business sectors,
Neto Recruitment Agency mainly specialises in the provision of job placements for the CATERING, DOMESTIC, CLEANING and CONSTRUCTION industries.
Looking forward to helping you.
Kind regards,"
1198,ConnectLater,"Thank you for your email correspondence.
This is to confirm that we have received your email which is being passed to our most relevant team member related to your query.
Depending upon the nature of your correspondence we may or may not get in contact with you. Either way, we can assure you that your information has been received.
Thank you for getting in touch.
Regards"
1199,SeekingMoreInfo,You can reach me on 9820762375. Please do send your company profile and any specific proposal for Avanse that you would have chalked out. Please send it before we get into a conversation
1200,ConnectLater,"Thank you for the mail. I will contact you if I have the need.
Best wishes,"
1201,OutOfOffice,"I am out of the office until 1-4-21. If you need immediate assistance, please contact me at 563-513-5442.
Thank you!
Karen Powers"
1202,Deactivated,No thank you Amruta
1203,OutOfOffice,"I am on leave. I'll resume work on Monday, 14th December 2020
There might be some delay in my response to your email. If there is anything urgent, please send me a sms."
1204,AgreedToMeet,"Yes, I am interested."
1205,Deactivated,"Hi, I think you have got a wrong email address. I am not interested in this
program."
1206,OutOfOffice,"Thank you for your email. I am currently out of the office and will respond when I return on Monday, December 28th. Merry Christmas!"
1207,Unsubscribed,I have resigned my position at BizCover and will no longer be available at this email.
1208,Unsubscribed,unsubscribe
1209,SeekingMoreInfo,"please send me the details of expenses in depth at the earliest, so that i can do analysis"
1210,OutOfOffice,"I will be out of office and will return on 15 September 2020. For urgent matters, kindly contact me on my mobile or my team; Jeffrey / Thana.
Thanks"
1211,OutOfOffice,"Thank you for your email. I am currently out of the office on vacation from Wednesday, December 23rd through Friday, January 4th. I will respond to your email as soon as I return.
Regards,"
1212,SeekingMoreInfo,"Can you send me some more details and a ppt
Cc me on my gmail as above too"
1213,SeekingMoreInfo,"Thanks for your email.
I have known Vishwas for several years and enjoy meeting him at least once a year. When I chatted with him at NASSCOM, if I recall correctly, he did say that his product was not for law firms.
However, I am willing to listen to what you would like to say. I am in the US on the East coast. Pl let me know when you would like to chat and we can schedule a call accordingly.
Thank you and Best Regards,"
1214,ReferredSomeone,You may please contact with maintenance department.
1215,OutOfOffice,"I will be OOO from Mon 6/22 thru Wed 7/1.
I will be checking email intermittently during this time. However, if you need to reach me immediately please text or call my mobile at 415-350-7445."
1216,OutOfOffice,"I am on leave for the whole December. We can get in touch after I resume
work."
1217,Deactivated,"No, thank you. I did not raise a query, not sure where did you get this request."
1218,ConnectLater,I have forwarded to our HR Manager to take a call on this. She will get back to you if there is a requirement.
1219,OutOfOffice,"Thanks for the email,
I am out of work at the moment due to Diwali Holidays. Please expect a delay in response from my end, till Monday(16 Nov 2020)."
1220,ReferredSomeone,Vishal from my team will get in touch with you.
1221,OutOfOffice,"I will be out of the office until 9/8/20. I will be checking emails on a limited basis. If your need is urgent, please call your branch office (Bala: 610-660-8020, Cherry Hill: 856-773-5800, Tysons Corner 703-918-9880).
Best regards,
Seth"
1222,OutOfOffice,"Happy Holidays! I am currently out of the office until the new year, Jan. 4 - Merry Christmas and Happy New Year!"
1223,SeekingMoreInfo,Do you have anyone with Form Assembly skills who can help with a short term contract?
1224,OutOfOffice,"I will be out of the office until 29Nov20 checking communications infrequently. If you need immediate assistance, please call 913-661-1662."
1225,OutOfOffice,"I am travelling with limited access to email. Please expect a delay in response.
Thanks
Rajesh BS"
1226,SeekingMoreInfo,"Would be great if you can help us in separation of Moisture / sludge from
Light Diesel oil. We use LDO in bulk and quite often we come across sludge
and moisture issues in LDO"
1227,Unsubscribed,"We do not trade scrap, we are an R & D Institute. Please, stop sending mail, thanks"
1228,OutOfOffice,"Thank you for your email. I am currently taking some time out for R&R after the past 3 chaotic months.
Yours in wine & smiles"
1229,Deactivated,"Yes I have seen the email and job description it‚Äôs all sounds 100% the job I would like to do apart from I don‚Äôt speak fluent German I can only understand it a bit.
Hope you had a nice Christmas, best wishes for 2021."
1230,Deactivated,"Hi Adam, thanks for the consideration but it's a little far away for me to consider, that is the only reason I've not responded sooner"
1231,Deactivated,"I don't know how and from where you have found my email address. Just
please be informed that due to US sanctions we are out of business and your
services/produsts is no longer needed.
Hope this helps you to understand our situation and stop sending such
emails."
1232,OutOfOffice,"I am currently out of the office and will be back on April 14th, 2020. Incoming e-mails will not be forwarded automatically."
1233,OutOfOffice,"I am offsite this week.
Thanks."
1234,Deactivated,"Thanks for reaching out.
We are not looking for Recruitment vendors at the moment."
1235,OutOfOffice,"Hi, I'm currently on annual leave until the October 23rd. I will respond on my return. Take care Elisabetta"
1236,Deactivated,"Thanks Pratheeksh.
We are not hiring via vendors"
1237,OutOfOffice,"** Special Message **
I am out of the office on vacation and will return on Monday, Jan 6th.
I will check email once a day during this time. If you need me urgently, please text or call my mobile at +1 646-319-4866."
1238,OutOfOffice,"ich werde Ihre Anfrage nach dem 10.05.2020. beantworten.
Wenden Sie sich bei Fragen zum Projekt Business Messenger an Andreas Morschhausen und zum Friendly-User-Test an cpbx-test@telekom.de.
Gr√º√üe
Frank R. Spanknebel"
1239,ReferredSomeone,Thank you for your email. I would like to informed that I am no longer with MCI Malaysia. Please contact +6564965500 (Singapore Team) for administrations matters.
1240,Deactivated,"I am not in HR team & thereby the below request is not valid.
Additionally, I am looking for a change now.
Have a nice day,"
1241,ConnectLater,"Greetings! Thank you for your e-mail.
I am currently out of the office and will not be able to respond back immediately. I am having very limited access to email while away but will get back to you as soon as I return."
1242,AgreedToMeet,I am interested. Send me the brochure
1243,Deactivated,"Thanks for your email,currently we dont have any requirements.
In future i will contact you for any queries."
1244,Deactivated,As of 13 November 2020 I have ceased employment with Mercy Health to move to another organisation. Thank-you for your message.
1245,OutOfOffice,"I am on leave till Jan 03, 2021 and have limited access to my email.
Wish you a very happy new year."
1246,Unsubscribed,pls don't send mails ... I am not interested at the moment.
1247,SeekingMoreInfo,"Madam I cant understand your proposal plz expain what u doing and from
where also we are farmer we are exporters of all agriculture produce from
uganda so plz bref ne properly thanks for mail"
1248,ConnectLater,"Thanks for reaching out. We wouldn't be needing any services as of now.
Will get in touch if needed.
Thank you!"
1249,Unsubscribed,No thanks. Please take me off your list
1250,OutOfOffice,Greetings! I am on leave till 10th September 2019 with very limited access to emails. Kindly bear with me.
1251,Deactivated,We are not interested.
1252,Deactivated,"Since, I am not from Hiring team, you may please exclude me from this topic."
1253,OutOfOffice,"I will be out of office till Sept 2nd. I will have no access to email
during this time and will reply to emails on my return."
1254,ReferredSomeone,"Rick Runyon is no longer with Company Wrench. This account will be deleted.
Your email has been forwarded to the new contact Tim Larson at t.larson@companywrench.com."
1255,ReferredSomeone,"Thank you for contacing the eCommerce New Business Development team. I am no longer with the company, please email sjnoone@key-stone.com and/or ladams@key-stone.com Thank you ."
1256,OutOfOffice,"Hello, I am on leave returning 07/01/21."
1257,SeekingMoreInfo,"This is Rama here. Actually I was enquiry about your minimac
oil conditioning system."
1258,ConnectLater,"You may be contacted for future requirement
Thanks & regards"
1259,OutOfOffice,"Sorry - I will be in and out of the office Thursday afternoon and Friday - back on Monday and a so I may not respond immediately.
Don Suderman"
1260,AgreedToMeet,Sure.
1261,SeekingMoreInfo,"Can you explain how you would handle a Swedish language dominant company? And can you please provide a couple of Swedish or Nordics client references?
If your answers makes sense, I will discuss a potential next step with our sales and recruitment leads."
1262,Deactivated,No thank you
1263,ConnectLater,"Depends on the year....right now we have over 500,000 thousand pounds of alum but we are waiting for at least .75..."
1264,ConnectLater,"As per our Conversation , we will reschedule today‚Äôs meeting next week.
Regards,"
1265,Deactivated,"I don't work for Alcoa.
MJB"
1266,OutOfOffice,"I will be out of the office on Wednesday 1/13 and returning Tuesday 1/19 with limited access to email. If you need immediate assistance please contact Roman Lacanilao at 904-390-1311. Thank you.
Justin Norman"
1267,OutOfOffice,"Thank you for your email.
I am currently on leave; and will resume to my work station on Monday, 4 Jan 2021
During this period, I will have limited email access; you may WhatsApp me and i shall response when convenience.
Wishing all happy holidays and Happy New Year 2021 !"
1268,OutOfOffice,"Ciao
Thank you for your email. I am on planned leaves till 27th Nov'2020; ; will revert to your email as early as possible."
1269,OutOfOffice,I will be out of the office the afternoon of Friday September 25th with limited access to e-mail. For any Specialty escalations please reach out to Rich Nalichowski.
1270,SeekingMoreInfo,"We can do a demo tonight or tomorrow night as per your convenience.
Let me know a suitable time.
Regards,"
1271,ConnectLater,"Thank you for reaching out to me.
Apology for the late reply, as I was on leave.
While it looks most apt for Agribusiness, we are currently not on this and
will get back to you should we have something in the future along this
line."
1272,ReferredSomeone,"Sarah Brown is no longer with the Firm. If you need immediate assistance please email Terry Reynolds at: terry.reynolds@americanblock.com, or call the main number at: 281-820-5332 and ask to speak with Terry."
1273,OutOfOffice,"I will be out of the office Monday, September 14th through Friday, September 18th. If you require immediate assistance, please contact Renee Smith at renee@moseleytechnical.com or 256-880-0446 ext. 302.
Thank you,"
1274,OutOfOffice,"Thank you for your email. I am out of the office until August 7th so please expect a delayed response. For urgent issues, please contact ONESOURCE Support.
Thanks."
1275,ConnectLater,I will be available next week for the calls.
1276,OutOfOffice,"Hello, Thank you for your email. 2nd October to 5th October, I will be on PTO. My time to reply email will be slower. I will be back in office on 6th October."
1277,SeekingMoreInfo,"Sorry for not reverting to your earlier email.
We can have a call tomorrow morning between 10 to 1030 am if you are free.
Let me know if that is suitable.
Regards"
1278,OutOfOffice,"I am out of the office until 04/01/2021.
I am currently out of office and would reply your message once I am back."
1279,ConnectLater,"Thank you for your mail,at present we don't have requirements,in future will contact you"
1280,OutOfOffice,"Hello, I am out of office on pregnancy sick leave."
1281,OutOfOffice,"Please note that on Friday, June 19, 2020 Imprivata will be observing the Juneteenth holiday. My response may be delayed until Monday, June 22, 2020."
1282,OutOfOffice,Out of the office 12/10-12/11. Limited phone or email access during that time.
1283,OutOfOffice,I am out of the office celebrating the holliday season with family and friends. Please expect a delay in my response. I will return to the office on 2 January.
1284,Deactivated,"No thanks, please remove me from your target list"
1285,Deactivated,"We have already brought ERP system, so please remove our mail from your List..
Thanks"
1286,AgreedToMeet,"A meeting would be great, looking forward to it.
Thanks."
1287,OutOfOffice,I will be out of the office Thursday July 2nd through Friday July 11th. During this period I will have limited access to voice mail and email. Messages will be returned at various times through this time frame.
1288,OutOfOffice,"Thank you for your mail. I am on leave, will be back in office on 11th March 2020"
1289,ConnectLater,"Due to existing pandemic of the CoronaVirus, Finolex Industries Limited‚Äôs management has decided to work with lean staff to minimise spread of CoronaVirus.
This could entail in a slight delay in our response.
Hope you will understand and co-operate."
1290,OutOfOffice,"Please note that I am out of the office and will be returning on Monday, August 31st.
Elysa"
1291,ConnectLater,"Thanks for connecting.
I will visit the website, understand more about your product and then we can connect on call ,may be next mid week.
Thanks and regards,"
1292,Unsubscribed,Please stop writing me and take me off your list.
1293,Deactivated,"There seems to be some confusion here. I'm already in touch with Aakshey
and Divesh from your team. Apologies for missing your email.
Thanks,"
1294,OutOfOffice,"I am on annual leave until Friday 31st July, I will have limited access to emails and will respond if urgent. Alternatively you can contact Jade Sheldon in my absent on jsheldon@sfrecruitment.com
Kind regards
Rebecca"
1295,OutOfOffice,I will be on PTO from August 7th through August 10th .
1296,ReferredSomeone,"Thank you for your
mail. I am no longer available at this mail id. You may write to me at my new
mail address ERM@bkkhareco.com."
1297,ConnectLater,"Sorry for slow response. I am in the middle of a payroll
integration project which is taking up much of my time.
Once that is done, I will have more time in November. Can we schedule
something for late November?
Kind Regards"
1298,ConnectLater,"May not be required now, will reach you soon, if need arise.
Regards"
1299,OutOfOffice,"Thank you for your email, I am currently away from the office until 15 December and will respond to all emails as soon as I can."
1300,Deactivated,"Thank you for your interest in Capital Blue Cross.
I don‚Äôt mean to be rude in any way to you but your email has several spelling/typo errors you may want to correct. Your message may be getting lost with potential customers if they see those errors. I have highlighted 3 errors below in yellow. I am truly trying to be helpful.
We are not currently seeking bids or information on the service(s) or goods you reference in your email.
Regards,"
1301,OutOfOffice,I am out of the office celebrating the holidays with my family and will return on January 2nd.
1302,OutOfOffice,"I am out of the office returning Wednesday January 8th.
I'll be checking email but with delay.
For urgent issues or questions, the best way to ensure response is to text/call me.
Thanks,
-Tom"
1303,ConnectLater,"As of now we are not hiring. All out requirements are freezed .
May be we will start hiring in the month of November.
I will contact you then ."
1304,AgreedToMeet,"Greetings from Coral!
We are equally delighted to be associated with talent corner as one of our recruitment partners and would be happy to connect with you over a video call.
I am available for the meeting today between 5:00 to 6:00 PM.
Please suggest if this slot is suitable for you else please let us know your convenient slot for the meeting.
Looking forward to meeting you soon!
Best Regards,"
1305,ConnectLater,"Apologies for the delay in responding. Can we set up a call this coming
Monday for us to understand the breadth of your venture? We can share what
we have in the pipeline and see if there is an opportunity to collaborate."
1306,OutOfOffice,"Hi - thank you for your email.
I am currently out of the office. I will be checking my emails when I get the chance, but it will take me longer than usual to get back to you.
Should your matter be urgent, please contact The Recruitment Network HQ on 0844 272 8990 or support@therecruitmentnetwork.com and one of the team will assist you in my absence.
Otherwise, I will respond to your email as soon as I can.
With my thanks and best wishes,"
1307,ConnectLater,"Thank you for your email.
We are now CLOSED due to CORONA-VIRUS.
Back in September ....
Please note that although active in other business sectors,
Neto Recruitment Agency mainly specialises in the provision of job placements for the CATERING, DOMESTIC, CLEANING and CONSTRUCTION industries.
Looking forward to helping you.
Kind regards,"
1308,OutOfOffice,"Hello - I will be out of office till October 26th. If you need immediate assistance, please contact Sandye Parks."
1309,OutOfOffice,"I am currently out of office. I will be back on October 6, 2020."
1310,Unsubscribed,Please remove me from your mailing list.
1311,ConnectLater,"Thank you for your mail. We
Will reply as soon as.
Regards,"
1312,ConnectLater,"Thank you for your mail.I`m busy right now
will reply as soon as I get back."
1313,Deactivated,"Thank you for you email , but I am no longer interested in purchasing this
product."
1314,Deactivated,"Thanks for reaching out.
We do not outsource our hiring requirements, we have in house team to close our requirements."
1315,Unsubscribed,STOP SENDING ME EMAILS
1316,OutOfOffice,"I am away May 11th to 15th and will return to the office Tuesday May 19th. I will be checking emails periodically, however if your request is urgent please contact:
Engineering related requests: Curtis Camara at ccamara@herd.com
Sales related requests: Diana Toovey at dtoovey@herd.com
Thanks!"
1317,OutOfOffice,I am out of office
1318,OutOfOffice,"Thank you for your email. I‚Äôm on leave till 10th January 2021.
I will intermittently keep checking my email and messages, however, please expect a delay in response."
1319,OutOfOffice,I will have limited e-mail access through 1/11. Please contact my assistant or send me text message for urgent issues.
1320,OutOfOffice,"I am on leave and would be back in office on 4th Jan 2021. During the period, I will have limited access of phone and mails. If you require immediate support, please text or call me.
KAPIL JAIN"
1321,OutOfOffice,"Thanks for your mail.I will be back in office on the 26th of May and pls expect a delay in response.
Regards
Srikanth"
1322,Deactivated,I didn‚Äôt request anything from SAP. Thanks.
1323,SeekingMoreInfo,"Sounds good to me, Can you call me some time next week?"
1324,OutOfOffice,"Thanks for the email,
I am out of work at the moment due to Diwali Holidays. Please expect a delay in response from my end, till Monday(16 Nov 2020)."
1325,OutOfOffice,"Thank you for your email. I am out of the office 12/15/20 and 1/5/20. I will have a few ""in the office"" days during this time to check in / follow up on pressing open items. I will have limited access to email but will be checking my email periodically."
1326,OutOfOffice,"I am on personal time off. November. I will have intermittent access to network in this duration, and there may be a delay in response to emails."
1327,SeekingMoreInfo,"Thanks for sharing the success story of one of the franchisor of talent
corner.
Please call me on monday so that you can tell me about more.
Thankyou"
1328,OutOfOffice,"I'm currently on holiday, returning Monday January 11th.
I'll speak to you when I get back.
Happy New Year.
Cheers
Uma"
1329,OutOfOffice,"Hi, Thank you for the mail. I am out of office and will not be accessing my emails. Regards, Rekha Srivatsa"
1330,Deactivated,"Thanks, Rachel, but I am practically retired and only
still keep a bit of an eye on
bulk scrap int‚Äòl."
1331,OutOfOffice,I am out of office
1332,AgreedToMeet,"Sure
Let's talk :)"
1333,Deactivated,"Thanks for the email!
We are not looking for the vendors as of now.
Regards,"
1334,AgreedToMeet,"I am based in Toronto.
Today evening 10 PM India time will work for me.
Regards
Amod"
1335,ConnectLater,"I am sorry for late reply & appreciate your persistence üëçüèª
Let's connect early next week.
Regards,"
1336,ReferredSomeone,"Paul McGinn is no longer an employee of Staiman Recycling Corp. Please contact Crystal Hartzel at our office at 570-323-9494 Ext. 218
*This mailbox is not monitored.*"
1337,ConnectLater,"Thank you for introducing me to this technology, I have not seen any requirement for this service among our contacts. I will keep this service in mind and as soon as we have a requirement I will get back to you."
1338,ConnectLater,"Sorry for late reply due to personal reasons I am available tomorrow. You
can call me for your convenience.
Regards,"
1339,ConnectLater,"We will let you know if we are looking for Recruitment partner.
Thank you."
1340,SeekingMoreInfo,Please share your contact details so that we can connect.
1341,OutOfOffice,Thanks for your email. We have a bank holiday in India on 3rd Aug. Will reply on my return on 4th Aug.
1342,OutOfOffice,"Thank you for your email. I‚Äôm currently out of the office, enjoying my own personal time."
1343,OutOfOffice,"Thank you for your message. I am currently out of the office with limited access to email. I will reply to your message as appropriate when I return.
Thank you,"
1344,Deactivated,No needs thanks.
1345,OutOfOffice,"Hello and thank you for your email,
I will be on leave from Monday 21st December 2020 through to Friday 1st January 2021 (inclusive). If you require urgent assistance, please call me on 0417 685 011, otherwise, I will respond to your email when I'm back at work on 4th January 2021."
1346,OutOfOffice,"I am on a personal leave from 23rd Nov 20 to 31st Dec 20
I will have limited access to my phone and mails.
Do drop me a Message and i would respond to it when i get access.
In case of urgency you can get in touch with my senior Harish Kale on harish@fidelis.co.in
Regards
Nikhil Shah"
1347,ReferredSomeone,"This must be for some hospital..I want to inform you I m not working
anymore ..
So kindly contact persent purchase manager of respective hospital
Regards
Ruchi"
1348,OutOfOffice,I will be out of office returning January 4.. I will have limited access to email but will strive to return your message ASAP.
1349,OutOfOffice,"Please note that Friday, 10Apr, is a holiday in India. I will respond to your messages upon my return on Monday, 13Apr."
1350,OutOfOffice,"ÔªøThank you for your message. I am out of the office this morning and early afternoon and checking email only intermittently. For anything urgent, please text me at 646 712 3037, otherwise I will respond later this afternoon.
Best"
1351,ConnectLater,"Sorry I've not replied sooner I'm just picking up on my E mails. Looking at
the job spec I do fit the profile it would be the location could cause a
problem as I live in Crewe Cheshire. Please don't hesitate to get back to
me if there is more to the operation or there are more variables.
Cheers"
1352,OutOfOffice,"Dear all, I'm on annual leave until Monday 2nd November."
1353,ConnectLater,"Thanks a lot for reaching me out, really appreciate it. We would love to
take your help in hiring but as of now, we already have some vendors
working for us, I will surely contact you if we will have more positions
open.
Let's stay in touch. ‚ò∫
Thanks again."
1354,Deactivated,"NO Interest, we are a trucking company, nothing to do with the price of metals"
1355,OutOfOffice,"I am out of office, please expect delay in response to your mail."
1356,OutOfOffice,"Thank you for your email.
I am OOF ."
1357,ConnectLater,"Should we have such requirements, our concern team will get back to you."
1358,OutOfOffice,I am currently out of the Plant on vacation returning on 4 Jan 2021.
1359,ConnectLater,Noted your mail. We will contact you in case of any requirement.
1360,ConnectLater,"all good here, hope you are good as well.
I have not been using my official system Email since weeks.
here, we already have existing partners working with us.
i have contact details of yours. will it you know soon after discussion
with training Deptt."
1361,AgreedToMeet,"Thanks for your email and interest in associating with us.
let‚Äôs talk next week, Wednesday 20th Jan, in the second half."
1362,OutOfOffice,"I will be out of the office until Sept. 10th.
I will be responding to email periodically as time permits."
1363,AgreedToMeet,Please schedule the call tomorrow around 2.30 pm
1364,Deactivated,sorry we are not interesstet yet.
1365,Deactivated,"Currently we are working from home and project work is very slow and almost
in hold condition.
Right now for projects we don't have any requirement.
Furthermore we are working on our requirement."
1366,AgreedToMeet,"Yes, I would like to receive call
thank you."
1367,ConnectLater,"Hope you are doing great.
Sorry for the late response and we would like to inform you that we have held all our recruitment processes as of now.
We shall get back to you when we resume the same.
Thanks & regards,"
1368,OutOfOffice,"I am on leave from 30.10.2020. I have no access to email. For other HR
related matters, I will respond to you once I am back to work on
02.11.2020."
1369,AgreedToMeet,"Can we fix up a call tomorrow 11/08?
Thanks"
1370,OutOfOffice,"Thank you for your email. I will be out of office till 18-Dec. Please expect a delay in response
Best Regards
Rony"
1371,OutOfOffice,"I will be on annual leave until Monday 2nd November.
Regards
Daniel Flifel"
1372,Deactivated,"Thanks for reaching out, but I'm not looking not looking for SFMC professionals at this point."
1373,ReferredSomeone,"Thank you for your email. Duncan Shaw no longer works for the JM Group.
Please direct your enquiry to :
Simon Girven"
1374,ReferredSomeone,"Thank you for your email.
Please note, Roshan Puri no longer works for Calculus Capital.
If you are a company looking for strategic support and financial backing, please contact the Investment Team at investmentteam@calculuscapital.com.
For any other queries, please don‚Äôt hesitate to call the office on 020 7493 4940.
Thank you and kind regards,
Calculus Capital"
1375,OutOfOffice,"I am on annual leave from 22/12 - 11/01. For urgent queries please text me 0477 011 082.
Thanks,
Lieschke"
1376,OutOfOffice,I am out of the office on vacation and will get back to you when I return.
1377,OutOfOffice,"Thank you for your email. I'm out of the office today with limited access to emaill. Shall respond as soon as possible.
Kind regards,
Venkatesh"
1378,SeekingMoreInfo,"I'm interested I have 6 points on my license
And what's the pay rate ?"
1379,OutOfOffice,"Hello- I am out of the office and will respond to messages again Tuesday afternoon, December 15th. Please text if urgent."
1380,OutOfOffice,"I am on leave . For any urgency, request you to send me an SMS or Call me."
1381,ReferredSomeone,Please note that my official mail id has been changed to new mail id (manish.kumar3@jbmgroup.com). please<mailto:manish.kumar3@jbmgroup.com).%20%20please> use new mail id for future communication .
1382,ConnectLater,"##- Please type your reply above this line -##
Thanks for your email. The team is on the case.
FYI - we have given it a number (3365) so if either of us need to, we can refer back to this."
1383,ConnectLater,"I apologize..
Please ignore my last mail... Actually I was in touch in Symantec Suman..
If any future IT requirement, will come back to you...."
1384,OutOfOffice,"Hi, I am on power down leave. Will resume office on 6th Jan. Please expect a delayed response."
1385,SeekingMoreInfo,Please share your number so we can discuss in details.
1386,OutOfOffice,"I'm on business travel working in European time zone, most of the day will be busy occupied with meetings, please expect delay in response to mails."
1387,OutOfOffice,"I am currently out of the office, returning September 15th. I will have limited access to email during this time. I will check email and respond to you at my earliest convenience."
1388,OutOfOffice,I am out of office
1389,Deactivated,"Thanks very much for getting in touch about the role, however I'm not quiet sure if I'm the best candidate for the role, firstly due to my location - Glasgow and secondly due to lack of experience with brands like Komatsu, Volvo etc.¬†¬†
Kindest Regards,Przemek"
1390,ConnectLater,"We will contact you, when required during oil flushing activity of our Steam/Gas Turbine."
1391,OutOfOffice,"Now I‚Äôm on vacation, I will let you know once I returned to office.
Sorry for inconvenience in this regard."
1392,ConnectLater,"Good morning Liza , am impressed with your soft ware but right now am not
ready for it ."
1393,OutOfOffice,"Thank you for your message, please note I am on annual leave until 14th January 2021.I will be back at work on Thursday 14th of January and will attend to your email at that time."
1394,ConnectLater,"thank you very much for your email
For the moment we are doing it internally.
I will contact you in case the situation changes."
1395,OutOfOffice,I am currently on annual leave from 24/12/2020 and will return on 11/01/2021.
1396,ConnectLater,We will update you if there is a requirement for the sane.
1397,Deactivated,My company is based in Baltimore and is not in need of a service such as yours.
1398,Deactivated,Not looking at partnering with any recruitment agency at this point.
1399,SeekingMoreInfo,How much is your fee?
1400,ConnectLater,Please share your contact details so that we can call you to discuss further.
1401,Deactivated,I‚Äôm afraid this is out of my scope as a writer/editor. But thanks for the contact.
1402,OutOfOffice,"I am currently travelling and have limited access to email.
Please contact my secretary Ms Sreeta Gunasagaran (email: sreetag@hapseng.com ) for further assistance.
I will be back in the office on Monday 17 August.
Kind regards"
1403,AgreedToMeet,"Hi Amruta , sure . I am happy to have a brief call on this subject .Thanks"
1404,ConnectLater,"Hope you are doing good.
We have been working with Talent Corner for 2 months now. We were working
on an opening for a Sales Manager, we have been assigned a dedicated person
from your team. He was working very well on the opening we had but then
suddenly we stopped receiving profiles from your team and there were no
follow ups at all.
We found your team very passionate about their work and we feel they can
deliver on time. We would like to work with you and your team for sure in
the future on the opening we will have."
